Feature Request,Request Platform(s),Category,Status,Update Implemented
Scribble to Erase,"Android, iPadOS/iOS",Shape & Geometry,Implemented,"Android v1.3.0, iPadOS/iOS v1.3.5"
Handwriting Search,"Android, iPadOS/iOS",Smart Features,In Progress,Android v1.3.6
Tables,"Android, iPadOS/iOS",Shape & Geometry,Implemented,"Android v1.3.4, iPadOS/iOS v1.3.3"
Presentation Mode,"Android, iPadOS/iOS",UI & Customization,Partial Rollout,iPadOS/iOS v1.3.4
LaTeX Math Support,"Android, iPadOS/iOS",STEM Tools,Backlog,
Scientific Calculator,"Android, iPadOS/iOS",STEM Tools,Backlog,
Unit Converter,"Android, iPadOS/iOS",STEM Tools,Backlog,
Function Plotter,"Android, iPadOS/iOS",STEM Tools,Backlog,
Vertical Space Adjustment Tool,"Android, iPadOS/iOS",Infinite Note,Backlog,
Object Grouping,"Android, iPadOS/iOS",Infinite Note,Backlog,
Native Desktop App,"Windows, MacOS",Backup & Sync,Backlog,
Incremental Live Sync,"Android, iPadOS/iOS",Backup & Sync,In Progress,
WebDAV Integration,"Android, iPadOS/iOS",Backup & Sync,Backlog,
Node Editing (Bezier),"Android, iPadOS/iOS",Shape & Geometry,Backlog,
Technical Shape Library,"Android, iPadOS/iOS",Shape & Geometry,Backlog,
Audio Markers,"Android, iPadOS/iOS",Multimedia & Stickers,Backlog,
True AMOLED Theme,"Android, iPadOS/iOS",UI & Customization,Backlog,
Tilt Detection,"Android, iPadOS/iOS",Writing & Stylus,Backlog,
Word-like Note Mode,"Android, iPadOS/iOS",PDF Notebook,Backlog,
Save Drawing as Sticker,"Android, iPadOS/iOS",Multimedia & Stickers,Backlog,
Improved Hyperlinking,"Android, iPadOS/iOS",Other Tools,Backlog,
PDF Page Cropping,"Android, iPadOS/iOS",PDF Notebook,Backlog,
Per-note Color Inversion toggle,"Android, iPadOS/iOS",Other Tools,Backlog,
Export Quality Slider,"Android, iPadOS/iOS","Document Import, Export & Output",Backlog,
Only Export Selection,"Android, iPadOS/iOS",Infinite Note,Backlog,
Native Web App,"Android, iPadOS/iOS",Backup & Sync,Backlog,
Video Embedding,"Android, iPadOS/iOS",Multimedia & Stickers,Backlog,
Multi-Keyword Search,"Android, iPadOS/iOS",Smart Features,Backlog,
User-Defined Themes,"Android, iPadOS/iOS",UI & Customization,Backlog,
iOS-Style Interface Option,Android,UI & Customization,Backlog,
"Object Flip, Mirror and Opacity","Android, iPadOS/iOS",Other Tools,Backlog,
Collapsible Sticky Note,"Android, iPadOS/iOS",Typing & Text Elements,Backlog,
Hotkeys & Mouse Support,"Android, iPadOS/iOS",UI & Customization,Backlog,
Paste/Recognize Text with Original Formatting,"Android, iPadOS/iOS",Typing & Text Elements,Backlog,
Option to Export Entire Folder,"Android, iPadOS/iOS","Document Import, Export & Output",Backlog,
Option to backup individual files,"Android, iPadOS/iOS",Backup & Sync,Backlog,
Custom App Icon,"Android, iPadOS/iOS",UI & Customization,Backlog,
Paper-Like Page Effect,"Android, iPadOS/iOS",UI & Customization,Backlog,
Floating/Transparent/Translucent Toolbar,"Android, iPadOS/iOS",UI & Customization,Backlog,
SVG Image Export,"Android, iPadOS/iOS","Document Import, Export & Output",Backlog,
Improved Screenshot Tool,"Android, iPadOS/iOS",Other Tools,Backlog,
Persistent Lasso Selection While Panning,"Android, iPadOS/iOS",Canvas Guides & Rulers,Backlog,
Auto Math Solver with Variable Support,"Android, iPadOS/iOS",Smart Features,Backlog,
Fit to Height/Width/Page Button,"Android, iPadOS/iOS",UI & Customization,Backlog,
Sticker Bulk Import & Crop,"Android, iPadOS/iOS",Multimedia & Stickers,Backlog,
Support More Audio Formats,"Android, iPadOS/iOS",Multimedia & Stickers,Backlog,
Synced Audio Playback for Multiple Audios,"Android, iPadOS/iOS",Multimedia & Stickers,Backlog,
Protrator/Compass Tool,"Android, iPadOS/iOS",Canvas Guides & Rulers,Backlog,
Real-Time Collaboration with Sharing Link,"Android, iPadOS/iOS",Backup & Sync,Backlog,
Custom Plugin System/API,"Android, iPadOS/iOS",UI & Customization,Backlog,
Detailed Note Storage Breakdown,"Android, iPadOS/iOS",UI & Customization,Backlog,
Notes Sort by Size,"Android, iPadOS/iOS",UI & Customization,Backlog,
Custom Tap and Hold Delay Settings,"Android, iPadOS/iOS",UI & Customization,Backlog,
Bucket Paint Tool,"Android, iPadOS/iOS",Other Tools,Backlog,
Gif Support,"Android, iPadOS/iOS",Multimedia & Stickers,Backlog,
More Folder Design Options (Patterns),"Android, iPadOS/iOS",UI & Customization,Backlog,
Custom Timer Ringtone,"Android, iPadOS/iOS",UI & Customization,Backlog,
Custom Font Making Tool,"Android, iPadOS/iOS",Typing & Text Elements,Backlog,
Customizable Shortcut in Tap and Hold Menu,"Android, iPadOS/iOS",UI & Customization,Backlog,
Free 360 Rotation of Note while Writing,"Android, iPadOS/iOS",Writing & Stylus,Backlog,
Floating Shape Toolbox/Add Shapes to Pen Case,"Android, iPadOS/iOS",Shape & Geometry,Backlog,
Include Add to Existing Note to Import Interface,"Android, iPadOS/iOS","Document Import, Export & Output",Backlog,
Horizontal/Vertical Scroll Lock,"Android, iPadOS/iOS",Canvas Guides & Rulers,Backlog,
Apple Pencil Pro Squeeze Gesture Support,iPadOS/iOS,Writing & Stylus,Backlog,
Angle Lock for Ruler Tool,"Android, iPadOS/iOS",Canvas Guides & Rulers,Backlog,
Auto Horizontal Straight Highlighter,"Android, iPadOS/iOS",Writing & Stylus,Backlog,
Home Screen Widgets,"Android, iPadOS/iOS",Other Tools,Backlog,
Built In Web Browser,"Android, iPadOS/iOS",UI & Customization,Backlog,
